data,dia,horario,rodada,id_arena,id_clube1,id_clube2,id_clube_vencedor,id_estado_clube1,id_estado_clube2,id_estado_vencedor,qtd_gols_clube1,qtd_gols_clube2
12/09/2015,Sábado,18h30,25ª Rodada,29,10,18,18,16,21,21,0,1
12/09/2015,Sábado,21h00,25ª Rodada,4,21,13,21,25,24,25,2,0
13/09/2015,Domingo,11h00,25ª Rodada,7,9,19,9,25,24,25,3,0
13/09/2015,Domingo,11h00,25ª Rodada,54,22,25,22,25,25,25,3,1
13/09/2015,Domingo,16h00,25ª Rodada,51,28,4,28,19,16,19,2,0
13/09/2015,Domingo,16h00,25ª Rodada,11,17,26,26,21,25,25,1,2
13/09/2015,Domingo,16h00,25ª Rodada,52,12,3,0,13,13,0,1,1
13/09/2015,Domingo,16h00,25ª Rodada,6,8,14,14,24,19,19,1,3
13/09/2015,Domingo,18h30,25ª Rodada,66,5,16,5,24,9,24,2,1
13/09/2015,Domingo,18h30,25ª Rodada,17,27,15,27,17,19,17,1,0
16/09/2015,Quarta-feira,19h30,26ª Rodada,51,15,21,21,19,25,25,1,4
16/09/2015,Quarta-feira,19h30,26ª Rodada,69,16,22,22,9,25,25,1,2
16/09/2015,Quarta-feira,19h30,26ª Rodada,15,19,27,0,24,17,0,1,1
16/09/2015,Quarta-feira,21h00,26ª Rodada,59,13,5,5,24,24,24,0,1
16/09/2015,Quarta-feira,21h00,26ª Rodada,29,4,17,17,16,21,21,1,2
16/09/2015,Quarta-feira,22h00,26ª Rodada,71,25,3,25,25,13,25,4,0
16/09/2015,Quarta-feira,22h00,26ª Rodada,21,18,9,18,21,25,21,2,1
16/09/2015,Quarta-feira,22h00,26ª Rodada,52,12,28,0,13,19,0,2,2
17/09/2015,Quinta-feira,19h30,26ª Rodada,56,26,8,0,25,24,0,0,0
17/09/2015,Quinta-feira,21h00,26ª Rodada,49,14,10,10,19,16,16,0,2
19/09/2015,Sábado,18h30,27ª Rodada,60,21,17,21,25,21,25,3,2
19/09/2015,Sábado,18h30,27ª Rodada,21,18,13,0,21,24,0,1,1
19/09/2015,Sábado,21h00,27ª Rodada,54,22,15,22,25,19,25,3,1
20/09/2015,Domingo,11h00,27ª Rodada,69,16,19,16,9,24,9,3,0
20/09/2015,Domingo,11h00,27ª Rodada,7,9,25,9,25,25,25,2,0
20/09/2015,Domingo,16h00,27ª Rodada,51,28,27,28,19,17,19,2,1
20/09/2015,Domingo,16h00,27ª Rodada,40,3,14,3,13,19,13,4,1
20/09/2015,Domingo,16h00,27ª Rodada,66,5,26,5,24,25,24,2,1
20/09/2015,Domingo,18h30,27ª Rodada,29,10,4,10,16,16,16,2,0
20/09/2015,Domingo,18h30,27ª Rodada,6,8,12,12,24,13,13,0,2
26/09/2015,Sábado,18h30,28ª Rodada,51,15,16,15,19,9,19,2,0
26/09/2015,Sábado,21h00,28ª Rodada,11,17,5,17,21,24,21,3,1
27/09/2015,Domingo,11h00,28ª Rodada,71,25,18,25,25,21,25,3,1
27/09/2015,Domingo,11h00,28ª Rodada,9,4,22,22,16,25,25,1,2
27/09/2015,Domingo,16h00,28ª Rodada,56,26,21,0,25,25,0,1,1
27/09/2015,Domingo,16h00,28ª Rodada,51,14,28,28,19,19,19,1,2
27/09/2015,Domingo,16h00,28ª Rodada,59,13,9,9,24,25,25,1,3
27/09/2015,Domingo,16h00,28ª Rodada,15,19,3,0,24,13,0,2,2
27/09/2015,Domingo,18h30,28ª Rodada,39,27,8,27,17,24,17,3,0
27/09/2015,Domingo,18h30,28ª Rodada,52,12,10,12,13,16,13,2,0
